Date,Open,High,Low,Close
2003-07-08,0.765,0.765,0.765,0.765
2003-07-09,0.777,0.777,0.777,0.777
2003-07-10,0.7775,0.7775,0.7775,0.7775
2003-07-11,0.776,0.776,0.776,0.776
2003-07-14,0.794,0.794,0.794,0.794
2003-07-15,0.79,0.79,0.79,0.79
2003-07-16,0.789,0.789,0.789,0.789
2003-07-17,0.778,0.778,0.778,0.778
2003-07-18,0.783,0.783,0.783,0.783
2003-07-21,0.773,0.773,0.773,0.773
2003-07-22,0.769,0.769,0.769,0.769
2003-07-23,0.7755,0.7755,0.7755,0.7755
2003-07-24,0.79,0.79,0.79,0.79
2003-07-25,0.7945,0.7945,0.7945,0.7945
2003-07-28,0.8045,0.8045,0.8045,0.8045
2003-07-29,0.803,0.803,0.803,0.803
2003-07-30,0.7995,0.7995,0.7995,0.7995
2003-07-31,0.818,0.818,0.818,0.818
2003-08-01,0.816,0.816,0.816,0.816
2003-08-04,0.8075,0.8075,0.8075,0.8075
2003-08-05,0.8065,0.8065,0.8065,0.8065
2003-08-06,0.8025,0.8025,0.8025,0.8025
2003-08-07,0.813,0.813,0.813,0.813
2003-08-08,0.7995,0.7995,0.7995,0.7995
2003-08-11,0.8045,0.8045,0.8045,0.8045
2003-08-12,0.7875,0.7875,0.7875,0.7875
2003-08-13,0.791,0.791,0.791,0.791
2003-08-14,0.797,0.797,0.797,0.797
2003-08-15,0.79,0.79,0.79,0.79
2003-08-18,0.7945,0.7945,0.7945,0.7945
2003-08-19,0.801,0.801,0.801,0.801
2003-08-20,0.801,0.801,0.801,0.801
2003-08-21,0.8015,0.8015,0.8015,0.8015
2003-08-22,0.802,0.802,0.802,0.802
2003-08-25,0.804,0.804,0.804,0.804
2003-08-26,0.7935,0.7935,0.7935,0.7935
2003-08-27,0.7935,0.7935,0.7935,0.7935
2003-08-28,0.787,0.787,0.787,0.787
2003-08-29,0.803,0.803,0.803,0.803
2003-09-02,0.8095,0.8095,0.8095,0.8095
2003-09-03,0.8245,0.8245,0.8245,0.8245
2003-09-04,0.8135,0.8135,0.8135,0.8135
2003-09-05,0.827,0.827,0.827,0.827
2003-09-08,0.824,0.824,0.824,0.824
2003-09-09,0.8135,0.8135,0.8135,0.8135
2003-09-10,0.8035,0.8035,0.8035,0.8035
2003-09-11,0.8225,0.8225,0.8225,0.8225
2003-09-12,0.81,0.81,0.81,0.81
2003-09-15,0.8155,0.8155,0.8155,0.8155
2003-09-16,0.8105,0.8105,0.8105,0.8105
2003-09-17,0.819,0.819,0.819,0.819
2003-09-18,0.823,0.823,0.823,0.823
2003-09-19,0.825,0.825,0.825,0.825
2003-09-22,0.826,0.826,0.826,0.826
2003-09-23,0.82,0.82,0.82,0.82
2003-09-24,0.8235,0.8235,0.8235,0.8235
2003-09-25,0.8275,0.8275,0.8275,0.8275
2003-09-26,0.8165,0.8165,0.8165,0.8165
2003-09-29,0.819,0.819,0.819,0.819
2003-09-30,0.813,0.813,0.813,0.813
2003-10-01,0.8185,0.8185,0.8185,0.8185
2003-10-02,0.8295,0.8295,0.8295,0.8295
2003-10-03,0.834,0.834,0.834,0.834
2003-10-06,0.8345,0.8345,0.8345,0.8345
2003-10-07,0.844,0.844,0.844,0.844
2003-10-08,0.8515,0.8515,0.8515,0.8515
2003-10-09,0.8505,0.8505,0.8505,0.8505
2003-10-10,0.861,0.861,0.861,0.861
2003-10-13,0.885,0.885,0.885,0.885
2003-10-14,0.871,0.871,0.871,0.871
2003-10-15,0.871,0.871,0.871,0.871
2003-10-16,0.8915,0.8915,0.8915,0.8915
2003-10-17,0.892,0.892,0.892,0.892
2003-10-20,0.9085,0.9085,0.9085,0.9085
2003-10-21,0.903,0.903,0.903,0.903
2003-10-22,0.9105,0.9105,0.9105,0.9105
2003-10-23,0.9035,0.9035,0.9035,0.9035
2003-10-24,0.8905,0.8905,0.8905,0.8905
2003-10-27,0.905,0.905,0.905,0.905
2003-10-28,0.9015,0.9015,0.9015,0.9015
2003-10-29,0.916,0.916,0.916,0.916
2003-10-30,0.931,0.931,0.931,0.931
2003-10-31,0.937,0.937,0.937,0.937
2003-11-03,0.931,0.931,0.931,0.931
2003-11-04,0.956,0.956,0.956,0.956
2003-11-05,0.955,0.955,0.955,0.955
2003-11-06,0.9385,0.9385,0.9385,0.9385
2003-11-07,0.943,0.943,0.943,0.943
2003-11-10,0.927,0.927,0.927,0.927
2003-11-11,0.944,0.944,0.944,0.944
2003-11-12,0.9475,0.9475,0.9475,0.9475
2003-11-13,0.9425,0.9425,0.9425,0.9425
2003-11-14,0.9515,0.9515,0.9515,0.9515
2003-11-17,0.919,0.919,0.919,0.919
2003-11-18,0.933,0.933,0.933,0.933
2003-11-19,0.9185,0.9185,0.9185,0.9185
2003-11-20,0.8845,0.8845,0.8845,0.8845
2003-11-21,0.8935,0.8935,0.8935,0.8935
2003-11-24,0.904,0.904,0.904,0.904
2003-11-25,0.887,0.887,0.887,0.887
2003-11-26,0.907,0.907,0.907,0.907
2003-12-01,0.9555,0.9555,0.9555,0.9555
2003-12-02,0.9695,0.9695,0.9695,0.9695
2003-12-03,0.976,0.976,0.976,0.976
2003-12-04,0.963,0.963,0.963,0.963
2003-12-05,0.969,0.969,0.969,0.969
2003-12-08,0.9665,0.9665,0.9665,0.9665
2003-12-09,0.978,0.978,0.978,0.978
2003-12-10,0.9775,0.9775,0.9775,0.9775
2003-12-11,0.976,0.976,0.976,0.976
2003-12-12,0.9865,0.9865,0.9865,0.9865
2003-12-15,0.998,0.998,0.998,0.998
2003-12-16,1.0075,1.0075,1.0075,1.0075
2003-12-17,0.997,0.997,0.997,0.997
2003-12-18,1.017,1.017,1.017,1.017
2003-12-19,1.026,1.026,1.026,1.026
2003-12-22,1.009,1.009,1.009,1.009
2003-12-23,1.02,1.02,1.02,1.02
2003-12-24,1.0265,1.0265,1.0265,1.0265
2003-12-29,1.042,1.042,1.042,1.042
2003-12-30,1.04,1.04,1.04,1.04
2003-12-31,1.043,1.043,1.043,1.043
2004-01-05,1.083,1.083,1.083,1.083
2004-01-06,1.067,1.067,1.067,1.067
2004-01-07,1.0625,1.0625,1.0625,1.0625
2004-01-08,1.1045,1.1045,1.1045,1.1045
2004-01-09,1.0995,1.0995,1.0995,1.0995
