Date,AssetPrice,AssetPriceUSD,GoldPrice,Ratio
1986-02-21,1539.73,2227.2194,343.3,6.48767680
1986-02-24,1563.18,2287.0887,351,6.51592210
1986-02-25,1568.41,2340.2246,350,6.68635589
1986-02-26,1568.27,2335.1540,338.5,6.89853480
1986-02-27,1576.74,2335.9403,339.2,6.88661648
1986-02-28,1575.05,2277.3648,341,6.67848913
1986-03-03,1573.5,2268.2002,340.5,6.66138106
1986-03-04,1575.33,2304.8653,346,6.66146047
1986-03-05,1588.89,2305.4794,344.5,6.69224787
1986-03-06,1592.99,2321.7829,344.3,6.74348802
1986-03-07,1594.4,2316.0254,345.7,6.69952398
1986-03-10,1606.69,2318.1323,343.3,6.75249733
1986-03-11,1629.29,2371.2687,344.9,6.87523533
1986-03-12,1631.41,2393.1153,353,6.77936354
1986-03-13,1658.53,2420.1270,349.2,6.93048962
1986-03-14,1668,2436.7812,348.9,6.98418229
1986-03-17,1677.32,2455.4287,350.8,6.99951182
1986-03-18,1675.63,2474.4028,350.3,7.06366777
1986-03-19,1701.76,2516.7329,350.8,7.17426700
1986-03-20,1714.47,2550.1027,352.7,7.23023158
1986-03-21,1718,2579.2334,357.4,7.21665753
1986-03-24,1705.29,2536.1073,351.3,7.21920663
1986-03-25,1678.03,2452.6086,344,7.12967630
1986-03-26,1689.89,2492.4188,348.5,7.15184723
1986-03-27,1695.83,2515.7638,347.2,7.24586349
1986-04-01,1715.32,2522.8927,337,7.48632836
1986-04-02,1730.44,2533.8833,339.5,7.46357376
1986-04-03,1750.07,2554.0522,338.4,7.54743546
1986-04-04,1759.11,2552.8204,338.4,7.54379560
1986-04-07,1739.05,2531.0134,342.5,7.38982006
1986-04-08,1737.07,2536.9907,342.9,7.39863148
1986-04-09,1729.02,2526.2711,342.2,7.38244045
1986-04-10,1735.8,2536.5245,341.7,7.42325004
1986-04-11,1741.45,2570.0319,347.5,7.39577528
1986-04-14,1747.67,2590.2217,344.2,7.52533907
1986-04-15,1725.07,2552.9311,343.4,7.43427808
1986-04-16,1727.19,2602.0117,341.9,7.61044672
1986-04-17,1741.88,2662.6378,341.5,7.79688951
1986-04-18,1744.98,2648.7051,346.7,7.63976101
1986-04-21,1748.66,2642.7499,345.7,7.64463367
1986-04-22,1749.08,2661.4001,349,7.62578833
1986-04-23,1735.24,2643.1176,348.1,7.59298353
1986-04-24,1713.48,2627.9643,347.1,7.57120218
1986-04-25,1711.08,2641.3942,346.2,7.62967705
1986-04-28,1722.67,2678.7519,345.8,7.74653514
1986-04-29,1746.4,2710.0635,346.9,7.81223269
1986-04-30,1755.16,2722.4287,348.1,7.82082354
1986-05-01,1740.89,2662.3431,342.8,7.76646172
1986-05-02,1749.08,2661.7499,344.7,7.72193195
1986-05-06,1748.38,2682.0149,344,7.79655500
1986-05-07,1748.23,2694.5469,345.8,7.79221197
1986-05-08,1704.16,2629.5189,345.5,7.61076376
1986-05-09,1693.28,2611.5457,345.5,7.55874311
1986-05-12,1690.74,2614.0531,345.5,7.56600033
1986-05-13,1703.17,2614.1956,345.1,7.57518294
1986-05-14,1694.7,2608.8212,343.1,7.60367584
1986-05-15,1688.9,2592.7993,343.4,7.55037647
1986-05-16,1668.14,2544.4139,343.8,7.40085498
1986-05-19,1669.55,2533.8760,340.7,7.43726456
1986-05-20,1673.51,2540.2208,339.8,7.47563516
1986-05-21,1680.57,2548.2483,339.8,7.49925924
1986-05-22,1685.09,2515.5024,342.6,7.34238865
1986-05-23,1693.42,2529.8001,342.4,7.38843498
1986-05-27,1693.99,2549.9631,341.8,7.46039540
1986-05-28,1707.41,2564.5298,342.5,7.48767831
1986-05-29,1702.18,2538.2908,347,7.31495912
1986-05-30,1696.53,2497.8011,347.1,7.19620029
1986-06-02,1696.82,2501.2824,345.1,7.24799294
1986-06-03,1705.43,2546.2070,345.3,7.37389803
1986-06-04,1705.86,2530.6433,344.8,7.33945276
1986-06-05,1713.63,2563.0764,344.6,7.43783050
1986-06-06,1713.34,2577.5487,344.8,7.47548926
1986-06-09,1721.68,2578.9045,354.2,7.28092736
1986-06-10,1712.21,2596.2240,351.2,7.39243742
1986-06-11,1695.83,2589.5324,351.7,7.36290136
1986-06-12,1701.34,2591.4811,349.8,7.40846509
1986-06-13,1703.17,2594.2685,348.8,7.43769651
